defective	05567	children:	-4090.549739192635	defective:	-3757.491732514398	property	damage:	-3833.7740542482816	safety:	-3813.5546313196833
safety	08564	children:	-2643.0376106219933	defective:	-2665.2229501502457	property	damage:	-2673.71985389867	safety:	-2616.61546441952
safety	10733	children:	-3570.864341227657	defective:	-3296.756398284143	property	damage:	-3450.1650998534337	safety:	-3296.0963332004276
defective	08555	children:	-2361.048052419795	defective:	-2134.0367020006297	property	damage:	-2230.2092260976183	safety:	-2177.1135667702115
safety	09738	children:	-2758.444034388073	defective:	-2624.3954326876774	property	damage:	-2597.2138034650898	safety:	-2578.793381026127
safety	10734	children:	-2569.800593408607	defective:	-2554.283730862147	property	damage:	-2613.886415701014	safety:	-2482.275380356385
children	03532	children:	-3114.7699713985594	defective:	-3229.0682830454557	property	damage:	-3313.555597996476	safety:	-3287.9044285900773
property damage	05560	children:	-2580.63173111945	defective:	-2484.4579432825544	property	damage:	-2472.8266248459267	safety:	-2528.9927476759012
children	05561	children:	-4010.246075977879	defective:	-4186.894304661749	property	damage:	-4299.211160209462	safety:	-4202.560591025516
defective	09734	children:	-2996.892337413985	defective:	-2676.8697818943633	property	damage:	-2821.4258518336483	safety:	-2831.886899183348
safety	09735	children:	-3627.8992256719102	defective:	-3440.045595786292	property	damage:	-3451.213888911113	safety:	-3267.582775478072
safety	10729	children:	-2990.6118366759583	defective:	-3071.998303366251	property	damage:	-3033.429222651421	safety:	-2978.750190471315
defective	11732	children:	-1971.748901439206	defective:	-1946.6573425668823	property	damage:	-1983.3833988251756	safety:	-1966.340501054113
defective	10730	children:	-2704.9875585852114	defective:	-2483.9005620765843	property	damage:	-2643.8355279009897	safety:	-2565.175926009844
safety	03539	children:	-2337.75495721529	defective:	-2218.178583132175	property	damage:	-2195.1224187820644	safety:	-2194.872302576951
defective	04545	children:	-3151.0762207458865	defective:	-2861.4480990551215	property	damage:	-3042.3571612715446	safety:	-2928.2758200946832
defective	08556	children:	-3313.490238799713	defective:	-3025.290754084325	property	damage:	-3162.460526726794	safety:	-3132.9596986074966
safety	06570	children:	-2620.374815413859	defective:	-2499.8827713434866	property	damage:	-2577.9471273426016	safety:	-2465.013147954558
children	05595	children:	-2917.361044359504	defective:	-2925.052380698813	property	damage:	-3002.49927676181	safety:	-2920.3836764842054
children	06571	children:	-2842.731769566801	defective:	-2887.70788705764	property	damage:	-2960.0471726444043	safety:	-2943.901575254678
property damage	10752	children:	-2762.7309375363816	defective:	-2680.0520015040393	property	damage:	-2614.6016185093613	safety:	-2722.3573684449325
defective	04572	children:	-3275.2995776369253	defective:	-3010.714392488712	property	damage:	-3039.989980387742	safety:	-3209.9253064281525
children	06572	children:	-3161.9104312358986	defective:	-3217.527901994491	property	damage:	-3221.991289542384	safety:	-3201.389873129
defective	08598	children:	-2942.9582792275764	defective:	-2715.1782481489354	property	damage:	-2834.666108505384	safety:	-2801.742786093666
children	08599	children:	-2632.667893132738	defective:	-2698.161619472326	property	damage:	-2767.272567844599	safety:	-2682.1791699345445
property damage	07569	children:	-2380.831131945724	defective:	-2270.647798329029	property	damage:	-2201.2416398563028	safety:	-2278.140537914923
safety	09764	children:	-2580.13130596406	defective:	-2558.586697332957	property	damage:	-2540.0663755895494	safety:	-2462.1231421742214
children	06573	children:	-2280.2558154924136	defective:	-2314.5864333903387	property	damage:	-2388.11680638972	safety:	-2301.5511272312506
defective	01517	children:	-4122.5513308733725	defective:	-3816.6295290190933	property	damage:	-3996.1059818044614	safety:	-3819.566812539193
defective	02552	children:	-1998.3862851547162	defective:	-1907.7858502943627	property	damage:	-1909.686200724427	safety:	-1931.0953305024757
defective	02553	children:	-2411.962116699078	defective:	-2199.725190027432	property	damage:	-2209.8421410507717	safety:	-2228.682803306142
property damage	06575	children:	-3051.842645327211	defective:	-2947.378777264624	property	damage:	-2919.091227172797	safety:	-3029.9343423747764
property damage	05596	children:	-3379.6941602488578	defective:	-3306.6527558956104	property	damage:	-3236.454466774374	safety:	-3292.5515041612207
property damage	12743	children:	-2608.8096101409005	defective:	-2593.6806795675966	property	damage:	-2577.8382617670622	safety:	-2593.625809468778
children	12744	children:	-4636.2604758129455	defective:	-4726.62139850958	property	damage:	-4780.949703454784	safety:	-4838.751575380859
safety	01518	children:	-3027.1246817874844	defective:	-3029.466099017793	property	damage:	-3086.2406547329247	safety:	-2937.7307740754554
safety	01518	children:	-3027.1246817874844	defective:	-3029.466099017793	property	damage:	-3086.2406547329247	safety:	-2937.7307740754554
safety	04573	children:	-2609.5996100572984	defective:	-2439.148952556811	property	damage:	-2471.171263043681	safety:	-2424.831777895905
safety	04573	children:	-2609.5996100572984	defective:	-2439.148952556811	property	damage:	-2471.171263043681	safety:	-2424.831777895905
defective	06576	children:	-2557.8634414369294	defective:	-2521.653133900119	property	damage:	-2542.7024815849204	safety:	-2586.9432682838606
defective	06576	children:	-2557.8634414369294	defective:	-2521.653133900119	property	damage:	-2542.7024815849204	safety:	-2586.9432682838606
