organization	recall_number	recall_date	recall_url	manufacturers	product_types	descriptions	upcs	hazards	countries
CPSC	14717	2014-02-26	http://www.cpsc.gov/en/Recalls/Recall-Alerts/2014/Yamaha-Recalls-Off-Road-Motorcycles/	Yamaha Motor Corporation	Motorcycles/Dirt Bikes (Off-Road) & Accessories	Yamaha competition off-road motorcycles		Crash	Japan
CPSC	14117	2014-02-26	http://www.cpsc.gov/en/Recalls/2014/Cork-Block-Stacking-Toys-Recalled-by-A-Harvest-Company/	A Harvest Company	Toy Blocks/Sorting	Cork Stacker block sets		Choking	United States
CPSC	14113	2014-02-25	http://www.cpsc.gov/en/Recalls/2014/Rollerblade-USA-Recalls-Tempest-Inline-Skates/	Rollerblade USA	Skates	Rollerblade® Tempest Inline Skates		Fall	Thailand
CPSC	14114	2014-02-25	http://www.cpsc.gov/en/Recalls/2014/Genie-Recalls-Garage-Door-Openers/	GMI Holdings	Garage Doors/Openers	Garage door openers		Fire & Fire-Related Burn	United States
CPSC	14115	2014-02-25	http://www.cpsc.gov/en/Recalls/2014/BRP-Recalls-Ski-Doo-and-Can-Am-Lithium-ion-Rechargeable-Batteries-and-Heated-Gloves/	Bombardier Recreational Products	Heating Pads	Ski-Doo® and Can-Am® heated gloves and Lithium-Ion Rechargeable Batteries.		Fire & Fire-Related Burn	China
CPSC	14716	2014-02-25	http://www.cpsc.gov/en/Recalls/Recall-Alerts/2014/Polaris-Recalls-Ranger-Recreational-Off-Highway-Vehicles/	Polaris Industries	All Terrain Vehicles (ATVs)	Recreational off-highway vehicles		Crash	Mexico
CPSC	14108	2014-02-20	http://www.cpsc.gov/en/Recalls/2014/Sterling-Rope-Company-Recalls-Sewn-Cords/	Sterling Rope Company	Climbing Equipment	Sewn cord edge restraints, sewn eyes and sewn loops.		Fall	United States
CPSC	14109	2014-02-20	http://www.cpsc.gov/en/Recalls/2014/Infantino-Recalls-Teething-Toys/	Infantino	Teething Items	Go Gaga Squeeze & Teethe Coco the Monkey		Choking	China
CPSC	14110	2014-02-20	http://www.cpsc.gov/en/Recalls/2014/US-Polo-Assn-Recalls-Girls-Jacket/	Samsung C&T America	Clothing (Children)	U.S. Polo Assn. girl’s jackets		Choking	China
CPSC	14111	2014-02-20	http://www.cpsc.gov/en/Recalls/2002/CPSC-Invensys-Climate-Controls-Announce-Recall-of-TS11-Thermal-Safety-Control-Valve/	The Eastman Footwear Group	Clothing (Children)	Coleman® Runestone Style Children’s Shoes		Laceration	China
CPSC	14107	2014-02-19	http://www.cpsc.gov/en/Recalls/2014/Lucent-Ace-Manufacturing-Recalls-LED-Flashlights/	Lucent Ace	Lights & Accessories	The battery can short and cause the flashlight’s canister to rupture, posing a burn hazard to the consumer.		Burn	China
CPSC	14106	2014-02-18	http://cs.cpsc.gov/ConceptDemo/SearchCPSC.aspx?SearchCategory=Recalls%20News%20Releases&category=995,1098,990,991,992,993,994,1031&autodisplay=true&query=14106	LEM Products Distribution	Food Dehydrator/Preserver/Processor	5-Tray Dehydrators with Digital Timers		Electrocution/Electric Shock	China
CPSC	14715	2014-02-18	http://www.cpsc.gov/en/Recalls/Recall-Alerts/2014/Club-Car-Recalls-Golf-and-Transport-Vehicles1/	Club Car	Utility, Off-Road Vehicles/Golf Carts	Precedent I2 golf and transport vehicles		Fall	United States
